,Ostschweiz,Schweiz
2022/35,141.36628231758618,168.9020826794004
2022/36,129.16774021437513,157.37874953182882
2022/37,128.93973008160484,158.36286735773862
2022/38,146.1544951057625,178.48006663622004
2022/39,234.50842155425386,268.7099393955068
2022/40,342.58522448737625,393.26950375629764
2022/41,341.7871890226802,424.3378746556589
2022/42,317.04808961710256,358.19600217009423
2022/43,289.34485848551105,280.23327254307833
2022/44,194.60664831945132,242.0929851738072
2022/45,174.54175663566488,236.14250529621316
2022/46,153.9068396199527,243.85524267601775
2022/47,137.37610499410593,221.60960251824307
2022/48,123.12547169596216,212.71821239345348
2022/49,106.5947370701154,189.85463778685175
2022/50,85.73180992163292,156.30308586164836
2022/51,65.89492837061678,131.78024282764056
2022/52,30.89537299037569,65.03187912378269
2023/01,14.25063329814377,25.18655040497021
