Codes:,gemeinden,wappen
2583,Schönenwerd,http://i.imgur.com/l6WAIYt.png
2584,Starrkirch-Wil,http://i.imgur.com/T9u6sRs.png
2585,Walterswil (SO),http://i.imgur.com/VdJJpRs.png
2586,Wangen bei Olten,http://i.imgur.com/gCafUGv.png
2601,Solothurn,http://i.imgur.com/JHN85pd.png
2611,Bärschwil,http://i.imgur.com/SIV7f2Q.png
2612,Beinwil (SO),http://i.imgur.com/JlfAjlM.png
2613,Breitenbach,http://i.imgur.com/RS288nQ.png
2614,Büsserach,http://i.imgur.com/Frdm2ev.png
2615,Erschwil,http://i.imgur.com/fi2KQWE.png
2616,Fehren,http://i.imgur.com/tOLwfbI.png
2617,Grindel,http://i.imgur.com/8zQhG1S.png
2618,Himmelried,http://i.imgur.com/JV9lhgR.png
2619,Kleinlützel,http://i.imgur.com/YRAV8Lv.png
2620,Meltingen,http://i.imgur.com/US4T7TG.png
2621,Nunningen,http://i.imgur.com/wk78sE6.png
2622,Zullwil,http://i.imgur.com/TJpYXDO.png
2430,Welschenrohr-Gänsbrunnen,http://i.imgur.com/hQrTbTj.png
