,Datum,Isolation,Quarantäne
267,2021-02-04,1441.0,3151.0
268,2021-02-05,1522.0,3106.0
269,2021-02-06,1522.0,3106.0
270,2021-02-07,1522.0,3106.0
271,2021-02-08,1523.0,2816.0
272,2021-02-09,1547.0,2666.0
273,2021-02-10,1527.0,2462.0
274,2021-02-11,1446.0,2567.0
275,2021-02-12,1417.0,2517.0
276,2021-02-13,1417.0,2517.0
277,2021-02-14,1417.0,2517.0
278,2021-02-15,1333.0,2400.0
279,2021-02-16,1300.0,2360.0
280,2021-02-17,1298.0,2308.0
281,2021-02-18,1255.0,2283.0
282,2021-02-19,1266.0,2287.0
283,2021-02-20,1266.0,2287.0
284,2021-02-21,1266.0,2287.0
285,2021-02-22,1157.0,2297.0
286,2021-02-23,1180.0,2330.0
287,2021-02-24,1223.0,2296.0
288,2021-02-25,1221.0,2271.0
289,2021-02-26,1221.0,2257.0
290,2021-02-27,1221.0,2257.0
291,2021-02-28,1221.0,2257.0
292,2021-03-01,1195.0,2209.0
293,2021-03-02,1194.0,2174.0
294,2021-03-03,1179.0,2132.0
295,2021-03-04,1183.0,2127.0
296,2021-03-05,1179.0,2142.0
297,2021-03-06,1179.0,2142.0
298,2021-03-07,1179.0,2142.0
299,2021-03-08,1139.0,2076.0
300,2021-03-09,1193.0,2099.0
301,2021-03-10,1214.0,2107.0
302,2021-03-11,1278.0,2122.0
303,2021-03-12,1278.0,2133.0
304,2021-03-13,1278.0,2133.0
305,2021-03-14,1278.0,2133.0
306,2021-03-15,1363.0,2131.0
307,2021-03-16,1445.0,2143.0
308,2021-03-17,1562.0,2169.0
309,2021-03-18,1578.0,2193.0
310,2021-03-19,1648.0,2208.0
311,2021-03-20,1648.0,2208.0
312,2021-03-21,1648.0,2208.0
313,2021-03-22,1659.0,2200.0
314,2021-03-23,1781.0,2223.0
315,2021-03-24,1854.0,2227.0
316,2021-03-25,1871.0,2233.0
317,2021-03-26,1898.0,2278.0
318,2021-03-27,1898.0,2278.0
319,2021-03-28,1898.0,2278.0
320,2021-03-29,1781.0,2327.0
321,2021-03-30,1856.0,2407.0
322,2021-03-31,1840.0,2373.0
323,2021-04-01,1904.0,2427.0
324,2021-04-02,1952.0,2415.0
325,2021-04-03,1952.0,2415.0
326,2021-04-04,1952.0,2415.0
327,2021-04-05,1738.0,2399.0
328,2021-04-06,1822.0,2414.0
329,2021-04-07,1862.0,2459.0
330,2021-04-08,1972.0,2492.0
331,2021-04-09,2076.0,2505.0
332,2021-04-10,2076.0,2505.0
333,2021-04-11,2076.0,2505.0
334,2021-04-12,2121.0,2574.0
335,2021-04-13,2242.0,2558.0
336,2021-04-14,2264.0,2518.0
337,2021-04-15,2273.0,2562.0
338,2021-04-16,2310.0,2618.0
339,2021-04-17,2310.0,2618.0
340,2021-04-18,2310.0,2618.0
341,2021-04-19,2207.0,2606.0
342,2021-04-20,2234.0,2576.0
343,2021-04-21,2217.0,2625.0
344,2021-04-22,2358.0,2639.0
345,2021-04-23,2252.0,2683.0
346,2021-04-24,2252.0,2683.0
347,2021-04-25,2252.0,2683.0
348,2021-04-26,2199.0,2615.0
349,2021-04-27,2239.0,2631.0
350,2021-04-28,2272.0,2633.0
351,2021-04-29,2252.0,2610.0
352,2021-04-30,2264.0,2584.0
353,2021-05-01,2264.0,2584.0
354,2021-05-02,2264.0,2584.0
355,2021-05-03,2006.0,2510.0
356,2021-05-04,2033.0,2487.0
357,2021-05-05,2006.0,2492.0
358,2021-05-06,1997.0,2467.0
359,2021-05-07,1943.0,2445.0
360,2021-05-08,1943.0,2445.0
361,2021-05-09,1943.0,2445.0
362,2021-05-10,1861.0,2323.0
363,2021-05-11,1902.0,2345.0
364,2021-05-12,1908.0,2359.0
365,2021-05-13,1868.0,2339.0
366,2021-05-14,1795.0,2424.0
367,2021-05-15,1795.0,2424.0
368,2021-05-16,1795.0,2424.0
369,2021-05-17,1894.0,2449.0
370,2021-05-18,1858.0,2415.0
371,2021-05-19,1738.0,2265.0
372,2021-05-20,1637.0,2117.0
373,2021-05-21,1545.0,1907.0
374,2021-05-22,1545.0,1907.0
375,2021-05-23,1545.0,1907.0
376,2021-05-24,1402.0,1411.0
377,2021-05-25,1334.0,1279.0
378,2021-05-26,1312.0,1203.0
379,2021-05-27,1272.0,1192.0
380,2021-05-28,1217.0,1141.0
381,2021-05-29,1217.0,1141.0
382,2021-05-30,1217.0,1141.0
383,2021-05-31,1128.0,886.0
