BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,vorletzte_sieben_tage,kategorie_sieben_tage,Wappen
4309,Klingnau,3523.0,764.0,69.0,65.0,21.686063014476296,69.0,65.0,4.0,http://i.imgur.com/VoJQHvN.png
4310,Koblenz,1690.0,373.0,31.0,37.0,22.071005917159763,31.0,37.0,3.0,http://i.imgur.com/NUihGv5.png
4276,Kölliken,4561.0,1101.0,116.0,103.0,24.139443104582327,116.0,103.0,4.0,http://i.imgur.com/82JAxdf.png
4031,Künten,1814.0,319.0,26.0,24.0,17.585446527012127,26.0,24.0,2.0,http://i.imgur.com/5mVDyI2.png
4008,Küttigen,6286.0,1325.0,127.0,130.0,21.07858733693923,127.0,130.0,4.0,http://i.imgur.com/p524AOA.png
4170,Laufenburg,3668.0,834.0,97.0,90.0,22.737186477644496,97.0,90.0,4.0,http://i.imgur.com/0q2DzDX.png
4311,Leibstadt,1344.0,232.0,13.0,19.0,17.261904761904763,13.0,19.0,2.0,http://i.imgur.com/nDEg55x.png
4137,Leimbach,480.0,,,,,,,,http://i.imgur.com/TX9Scww.png
4312,Lengnau,2768.0,592.0,56.0,50.0,21.38728323699422,56.0,50.0,4.0,http://i.imgur.com/jtVn2cE.png
4201,Lenzburg,10899.0,2514.0,210.0,352.0,23.06633636113405,210.0,352.0,4.0,http://i.imgur.com/hwKNDNt.png
4313,Leuggern,2166.0,381.0,27.0,40.0,17.590027700831026,27.0,40.0,2.0,http://i.imgur.com/jwxM3DD.png
4138,Leutwil,744.0,129.0,14.0,10.0,17.338709677419356,14.0,10.0,2.0,http://i.imgur.com/L9D6Thz.png
4104,Lupfig,3152.0,637.0,55.0,73.0,20.20939086294416,55.0,73.0,4.0,http://i.imgur.com/GsvlHnm.png
4253,Magden,3886.0,750.0,68.0,74.0,19.30005146680391,68.0,74.0,4.0,http://i.imgur.com/RjlsGjO.png
4105,Mandach,331.0,,,,,,,,http://i.imgur.com/9A7gzrY.png
4202,Meisterschwanden,2937.0,569.0,47.0,59.0,19.37351038474634,47.0,59.0,3.0,http://i.imgur.com/5oMnSnx.png
4314,Mellikon,227.0,,,,,,,,http://i.imgur.com/nxzSlN6.png
4033,Mellingen,5803.0,1348.0,119.0,164.0,23.229364122005858,119.0,164.0,4.0,http://i.imgur.com/ygzUtMm.png
4139,Menziken,6507.0,1562.0,110.0,107.0,24.00491778085139,110.0,107.0,4.0,http://i.imgur.com/uIpPosE.png
4234,Merenschwand,3680.0,908.0,95.0,96.0,24.67391304347826,95.0,96.0,4.0,http://i.imgur.com/VUV5NO6.png
