BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,kategorie_sieben_tage,Wappen
4008,Küttigen,6286.0,458.0,8,10,7.286032453070315,8.0,1.0,http://i.imgur.com/p524AOA.png
4170,Laufenburg,3668.0,347.0,4,0-3,9.460196292257361,4.0,1.0,http://i.imgur.com/0q2DzDX.png
4311,Leibstadt,1344.0,93.0,0-3,0-3,6.919642857142858,0.0,0.0,http://i.imgur.com/nDEg55x.png
4137,Leimbach,480.0,,,,,,,http://i.imgur.com/TX9Scww.png
4312,Lengnau,2768.0,201.0,0-3,0-3,7.261560693641618,0.0,0.0,http://i.imgur.com/jtVn2cE.png
4201,Lenzburg,10899.0,924.0,9,14,8.477842003853564,9.0,1.0,http://i.imgur.com/hwKNDNt.png
4313,Leuggern,2166.0,168.0,0-3,0-3,7.756232686980609,0.0,0.0,http://i.imgur.com/jwxM3DD.png
4138,Leutwil,744.0,52.0,0-3,5,6.989247311827956,0.0,0.0,http://i.imgur.com/L9D6Thz.png
4104,Lupfig,3152.0,226.0,0-3,0-3,7.1700507614213205,0.0,0.0,http://i.imgur.com/GsvlHnm.png
4253,Magden,3886.0,220.0,0-3,4,5.66134843026248,0.0,0.0,http://i.imgur.com/RjlsGjO.png
4105,Mandach,331.0,,,,,,,http://i.imgur.com/9A7gzrY.png
4202,Meisterschwanden,2937.0,193.0,4,0-3,6.571331290432414,4.0,1.0,http://i.imgur.com/5oMnSnx.png
4314,Mellikon,227.0,,,,,,,http://i.imgur.com/nxzSlN6.png
4033,Mellingen,5803.0,539.0,5,11,9.288299155609167,5.0,1.0,http://i.imgur.com/ygzUtMm.png
4139,Menziken,6507.0,656.0,11,26,10.08145074535116,11.0,2.0,http://i.imgur.com/uIpPosE.png
4234,Merenschwand,3680.0,306.0,15,0-3,8.315217391304348,15.0,2.0,http://i.imgur.com/VUV5NO6.png
4184,Mettauertal,2046.0,66.0,4,0-3,3.225806451612903,4.0,1.0,http://i.imgur.com/gALhRfi.png
4277,Moosleerau,893.0,72.0,0-3,0-3,8.062709966405375,0.0,0.0,http://i.imgur.com/tY7Fvn4.png
4009,Muhen,3939.0,300.0,0-3,0-3,7.616146230007616,0.0,0.0,http://i.imgur.com/bL0cP46.png
4255,Mumpf,1563.0,132.0,0-3,0-3,8.445297504798464,0.0,0.0,http://i.imgur.com/4FvMR7y.png
4279,Murgenthal,2997.0,278.0,0-3,5,9.275942609275942,0.0,0.0,http://i.imgur.com/vQIoXmy.png
4236,Muri,8244.0,717.0,13,16,8.697234352256187,13.0,2.0,http://i.imgur.com/djI91Qx.png
4032,Mägenwil,2128.0,188.0,0-3,0-3,8.834586466165414,0.0,0.0,http://i.imgur.com/i6P6JMV.png
4254,Möhlin,11060.0,999.0,7,7,9.032549728752262,7.0,1.0,http://i.imgur.com/dODOirk.png
4106,Mönthal,398.0,,,,,,,http://i.imgur.com/Yxxsjjp.png
4203,Möriken-Wildegg,4491.0,372.0,0-3,0-3,8.283233132932532,0.0,0.0,http://i.imgur.com/0EUBHOL.png
4235,Mühlau,1210.0,62.0,0-3,0-3,5.12396694214876,0.0,0.0,http://i.imgur.com/RsXBeqQ.png
4107,Mülligen,1088.0,61.0,0-3,0-3,5.606617647058823,0.0,0.0,http://i.imgur.com/9f1bnFE.png
4172,Münchwilen,1003.0,58.0,0-3,0-3,5.782652043868395,0.0,0.0,http://i.imgur.com/28quAhM.png
4034,Neuenhof,8989.0,1009.0,4,13,11.22483034820336,4.0,1.0,http://i.imgur.com/yrqjhgc.png
4204,Niederlenz,4812.0,441.0,5,11,9.164588528678303,5.0,1.0,http://i.imgur.com/8PjOy30.png
4035,Niederrohrdorf,4195.0,310.0,4,5,7.389749702026221,4.0,1.0,http://i.imgur.com/FIcVun6.png
4072,Niederwil,2810.0,282.0,0-3,0-3,10.0355871886121,0.0,0.0,http://i.imgur.com/W6rKm9n.png
4010,Oberentfelden,8534.0,894.0,10,10,10.475744082493556,10.0,1.0,http://i.imgur.com/eNr44Vb.png
4173,Oberhof,589.0,33.0,0-3,0-3,5.602716468590832,0.0,0.0,http://i.imgur.com/z0ORwr7.png
4140,Oberkulm,2736.0,250.0,0-3,0-3,9.137426900584796,0.0,0.0,http://i.imgur.com/P5AI07c.png
4073,Oberlunkhofen,2036.0,114.0,0-3,0-3,5.599214145383105,0.0,0.0,http://i.imgur.com/KcFNdhq.png
4256,Obermumpf,1051.0,67.0,0-3,0-3,6.374881065651761,0.0,0.0,http://i.imgur.com/lZjt1pO.png
4037,Oberrohrdorf,4046.0,277.0,0-3,9,6.846267918932279,0.0,0.0,http://i.imgur.com/9yN4UPe.png
4237,Oberrüti,1540.0,104.0,0-3,0-3,6.753246753246753,0.0,0.0,http://i.imgur.com/pRsDklD.png
4038,Obersiggenthal,8688.0,703.0,0-3,11,8.091620626151013,0.0,0.0,http://i.imgur.com/uJJH5dZ.png
4074,Oberwil-Lieli,2489.0,149.0,4,7,5.986339895540378,4.0,1.0,http://i.imgur.com/WgLIb5X.png
4175,Oeschgen,1066.0,50.0,0-3,0-3,4.690431519699812,0.0,0.0,http://i.imgur.com/A9axLHn.png
4280,Oftringen,14198.0,1387.0,9,16,9.768981546696716,9.0,1.0,http://i.imgur.com/yKfDk3D.png
4257,Olsberg,356.0,,,,,,,http://i.imgur.com/vmb4c6O.png
4205,Othmarsingen,2979.0,273.0,7,4,9.164149043303121,7.0,1.0,http://i.imgur.com/534vMUa.png
4141,Reinach,8824.0,909.0,13,15,10.301450589301904,13.0,2.0,http://i.imgur.com/Iyt0GB9.png
4281,Reitnau,1523.0,88.0,0-3,0-3,5.778069599474721,0.0,0.0,http://i.imgur.com/yEt9ppb.png
4315,Rekingen,940.0,72.0,0-3,0-3,7.659574468085106,0.0,0.0,http://i.imgur.com/L3LxyZ0.png
4039,Remetschwil,2021.0,166.0,5,0-3,8.213755566551212,5.0,1.0,http://i.imgur.com/3bWmPXL.png
4110,Remigen,1328.0,70.0,0-3,0-3,5.271084337349398,0.0,0.0,http://i.imgur.com/U0CfL6R.png
4258,Rheinfelden,13480.0,1057.0,0-3,15,7.8412462908011875,0.0,0.0,http://i.imgur.com/9BmdPBn.png
4316,Rietheim,722.0,60.0,0-3,0-3,8.310249307479225,0.0,0.0,http://i.imgur.com/GdFbyfK.png
4111,Riniken,1478.0,85.0,0-3,0-3,5.7510148849797025,0.0,0.0,http://i.imgur.com/0uuXfx7.png
4282,Rothrist,9206.0,916.0,9,26,9.950032587442973,9.0,1.0,http://i.imgur.com/9SjdW5A.png
4238,Rottenschwil,890.0,59.0,0-3,0-3,6.629213483146068,0.0,0.0,http://i.imgur.com/H1UEchi.png
4075,Rudolfstetten-Friedlisberg,4550.0,386.0,12,10,8.483516483516484,12.0,2.0,http://i.imgur.com/0ovp26K.png
4206,Rupperswil,5537.0,476.0,5,9,8.596713021491782,5.0,1.0,http://i.imgur.com/Ltb4dWS.png
4112,Rüfenach,856.0,49.0,0-3,0-3,5.724299065420561,0.0,0.0,http://i.imgur.com/yan4Ctu.png
4317,Rümikon,333.0,,,,,,,http://i.imgur.com/yB4U0hv.png
4283,Safenwil,4050.0,316.0,7,0-3,7.802469135802468,7.0,1.0,http://i.imgur.com/f0W1g7a.png
4076,Sarmenstorf,2909.0,195.0,0-3,0-3,6.703334479202475,0.0,0.0,http://i.imgur.com/sZSmep6.png
4207,Schafisheim,2991.0,223.0,0-3,5,7.4557004346372455,0.0,0.0,http://i.imgur.com/H3aMbia.png
4125,Schinznach,2300.0,168.0,0-3,0-3,7.304347826086957,0.0,0.0,http://i.imgur.com/QGZrvS1.png
4142,Schlossrued,818.0,56.0,0-3,0-3,6.845965770171149,0.0,0.0,http://i.imgur.com/qBWENd4.png
4143,Schmiedrued,1153.0,86.0,0-3,0-3,7.458803122289679,0.0,0.0,http://i.imgur.com/PwOUivA.png
4318,Schneisingen,1485.0,73.0,0-3,0-3,4.915824915824916,0.0,0.0,http://i.imgur.com/VRUk88K.png
4259,Schupfart,794.0,55.0,0-3,0-3,6.926952141057935,0.0,0.0,http://i.imgur.com/eMTBgqS.png
4176,Schwaderloch,704.0,51.0,0-3,0-3,7.2443181818181825,0.0,0.0,http://i.imgur.com/NHfpFSM.png
4144,Schöftland,4462.0,412.0,7,8,9.23352756611385,7.0,1.0,http://i.imgur.com/9LgvZlg.png
4208,Seengen,4096.0,247.0,0-3,7,6.0302734375,0.0,0.0,http://i.imgur.com/5Sg16Rz.png
4209,Seon,5210.0,441.0,0-3,4,8.464491362763916,0.0,0.0,http://i.imgur.com/cQJKG8S.png
4319,Siglistorf,649.0,67.0,0-3,0-3,10.323574730354391,0.0,0.0,http://i.imgur.com/npW0y0w.png
4239,Sins,4297.0,333.0,8,4,7.749592739120316,8.0,1.0,http://i.imgur.com/I3auIg0.png
4177,Sisseln,1597.0,130.0,0-3,0-3,8.140262993112085,0.0,0.0,http://i.imgur.com/7RvTKOe.png
4040,Spreitenbach,12146.0,1517.0,38,39,12.489708546023383,38.0,3.0,http://i.imgur.com/rTrCwxh.png
4284,Staffelbach,1314.0,101.0,0-3,0-3,7.686453576864535,0.0,0.0,http://i.imgur.com/3J4WNhu.png
4210,Staufen,3993.0,311.0,4,8,7.788630102679689,4.0,1.0,http://i.imgur.com/GQ3xIgp.png
4260,Stein,3146.0,279.0,4,0-3,8.868404322949777,4.0,1.0,http://i.imgur.com/3moofQ2.png
4041,Stetten,2213.0,186.0,0-3,0-3,8.404880253050157,0.0,0.0,http://i.imgur.com/Qeadgb2.png
4285,Strengelbach,4850.0,408.0,4,10,8.412371134020619,4.0,1.0,http://i.imgur.com/zvfHrHe.png
4012,Suhr,10512.0,1038.0,6,7,9.874429223744292,6.0,1.0,http://i.imgur.com/lcfdzfA.png
4320,Tegerfelden,1184.0,89.0,0-3,0-3,7.516891891891891,0.0,0.0,http://i.imgur.com/EVYOopQ.png
4145,Teufenthal,1669.0,77.0,0-3,0-3,4.613541042540444,0.0,0.0,http://i.imgur.com/NvOAkJh.png
4117,Thalheim,818.0,39.0,0-3,0-3,4.767726161369193,0.0,0.0,http://i.imgur.com/esL6zNk.png
4042,Turgi,2966.0,372.0,0-3,0-3,12.542144302090358,0.0,0.0,http://i.imgur.com/PzCWLUz.png
4077,Tägerig,1473.0,102.0,0-3,0-3,6.924643584521386,0.0,0.0,http://i.imgur.com/zvpZnBf.png
4179,Ueken,904.0,44.0,0-3,0-3,4.867256637168142,0.0,0.0,http://i.imgur.com/BVhtXoi.png
4286,Uerkheim,1368.0,110.0,0-3,0-3,8.04093567251462,0.0,0.0,http://i.imgur.com/Bkm3C1T.png
4078,Uezwil,496.0,,,,,,,http://i.imgur.com/guL4ZZO.png
4013,Unterentfelden,4275.0,410.0,0-3,5,9.5906432748538,0.0,0.0,http://i.imgur.com/YH3LS4D.png
4146,Unterkulm,3188.0,203.0,5,0-3,6.36762860727729,5.0,1.0,http://i.imgur.com/BoM5cfD.png
4079,Unterlunkhofen,1499.0,79.0,0-3,0-3,5.270180120080053,0.0,0.0,http://i.imgur.com/0P2K5gE.png
4044,Untersiggenthal,7219.0,621.0,4,5,8.602299487463638,4.0,1.0,http://i.imgur.com/jBMixKU.png
4120,Veltheim,1512.0,80.0,0-3,0-3,5.291005291005291,0.0,0.0,http://i.imgur.com/FtvKIDE.png
4121,Villigen,2147.0,162.0,0-3,7,7.545412203074056,0.0,0.0,http://i.imgur.com/eE28poK.png
4080,Villmergen,7597.0,541.0,11,5,7.121232065288929,11.0,2.0,http://i.imgur.com/A2GyHF4.png
4122,Villnachern,1665.0,98.0,0-3,0-3,5.885885885885886,0.0,0.0,http://i.imgur.com/GZXQi5c.png
4287,Vordemwald,1965.0,153.0,0-3,0-3,7.786259541984733,0.0,0.0,http://i.imgur.com/vl3uVMt.png
4261,Wallbach,1983.0,104.0,0-3,0-3,5.2445789208270295,0.0,0.0,http://i.imgur.com/FNtG3ZP.png
4240,Waltenschwil,2991.0,208.0,0-3,0-3,6.954195921096623,0.0,0.0,http://i.imgur.com/b4SUG3R.png
4262,Wegenstetten,1031.0,61.0,0-3,0-3,5.916585838991271,0.0,0.0,http://i.imgur.com/zXwaQpI.png
4045,Wettingen,21106.0,1889.0,22,21,8.950061593859566,22.0,2.0,http://i.imgur.com/bZt880G.png
4081,Widen,3818.0,324.0,0-3,7,8.486118386589837,0.0,0.0,http://i.imgur.com/vcitIcK.png
4288,Wiliberg,173.0,,,,,,,http://i.imgur.com/5dd7Hhd.png
4123,Windisch,7668.0,681.0,5,8,8.881064162754305,5.0,1.0,http://i.imgur.com/rEkQqqO.png
4322,Wislikofen,357.0,,,,,,,http://i.imgur.com/aTJL5Ed.png
4181,Wittnau,1349.0,103.0,9,0-3,7.635285396590066,9.0,1.0,http://i.imgur.com/MAHyAYx.png
4082,Wohlen,16661.0,1621.0,13,23,9.729307964708001,13.0,2.0,http://i.imgur.com/toO1BXR.png
4046,Wohlenschwil,1635.0,127.0,0-3,0-3,7.767584097859327,0.0,0.0,http://i.imgur.com/o0QVJBn.png
4182,Wölflinswil,1033.0,87.0,5,0-3,8.422071636011616,5.0,1.0,http://i.imgur.com/vV3lkT2.png
4047,Würenlingen,4788.0,443.0,0-3,7,9.252297410192147,0.0,0.0,http://i.imgur.com/MCG8Kel.png
4048,Würenlos,6482.0,481.0,6,7,7.4205492132058,6.0,1.0,http://i.imgur.com/BeciNc5.png
4183,Zeihen,1162.0,67.0,0-3,0-3,5.76592082616179,0.0,0.0,http://i.imgur.com/DRqKcvq.png
4263,Zeiningen,2392.0,144.0,0-3,7,6.0200668896321075,0.0,0.0,http://i.imgur.com/NDqPy8c.png
4147,Zetzwil,1344.0,109.0,0-3,0-3,8.110119047619047,0.0,0.0,http://i.imgur.com/HQ60iSU.png
4289,Zofingen,11909.0,805.0,8,12,6.759593584683852,8.0,1.0,http://i.imgur.com/Qf7Qf0z.png
4083,Zufikon,4503.0,283.0,8,15,6.284699089495891,8.0,1.0,http://i.imgur.com/LxfskzN.png
4264,Zuzgen,868.0,56.0,0-3,0-3,6.451612903225806,0.0,0.0,http://i.imgur.com/SNdgB4O.png
