BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,kategorie_sieben_tage,Wappen
4167,Hornussen,1005.0,136.0,10.0,6,13.532338308457712,1.0,http://i.imgur.com/lSP17BT.png
4200,Hunzenschwil,4106.0,591.0,44.0,28,14.393570384802729,3.0,http://i.imgur.com/Vqj6WIx.png
4068,Hägglingen,2478.0,302.0,24.0,10,12.18724778046812,2.0,http://i.imgur.com/yrhxWfN.png
4084,Islisberg,643.0,91.0,6.0,0-3,14.152410575427682,1.0,http://i.imgur.com/xKYZkne.png
4071,Jonen,2190.0,227.0,23.0,19,10.365296803652967,2.0,http://i.imgur.com/ECk8cce.png
4252,Kaiseraugst,5533.0,746.0,48.0,27,13.482739924091813,3.0,http://i.imgur.com/rTZ61AE.png
4308,Kaiserstuhl,419.0,,,,,,http://i.imgur.com/M6tzgTf.png
4169,Kaisten,2685.0,334.0,28.0,18,12.439478584729981,2.0,http://i.imgur.com/k2OMcvS.png
4233,Kallern,399.0,,,,,,http://i.imgur.com/xKNEKBa.png
4030,Killwangen,2050.0,289.0,24.0,7,14.097560975609754,2.0,http://i.imgur.com/1mK0CwS.png
4275,Kirchleerau,882.0,107.0,3.0,5,12.131519274376418,0.0,http://i.imgur.com/VUYTPz1.png
4309,Klingnau,3523.0,476.0,37.0,22,13.511212035197277,3.0,http://i.imgur.com/VoJQHvN.png
4310,Koblenz,1690.0,237.0,9.0,5,14.023668639053255,1.0,http://i.imgur.com/NUihGv5.png
4276,Kölliken,4561.0,662.0,20.0,18,14.514360885770664,2.0,http://i.imgur.com/82JAxdf.png
4031,Künten,1814.0,179.0,17.0,11,9.867695700110254,2.0,http://i.imgur.com/5mVDyI2.png
4008,Küttigen,6286.0,805.0,52.0,40,12.806236080178174,4.0,http://i.imgur.com/p524AOA.png
4170,Laufenburg,3668.0,543.0,19.0,11,14.803707742639041,2.0,http://i.imgur.com/0q2DzDX.png
4311,Leibstadt,1344.0,150.0,6.0,10,11.160714285714286,1.0,http://i.imgur.com/nDEg55x.png
4137,Leimbach,480.0,,,,,,http://i.imgur.com/TX9Scww.png
4312,Lengnau,2768.0,362.0,18.0,22,13.078034682080924,2.0,http://i.imgur.com/jtVn2cE.png
4201,Lenzburg,10899.0,1395.0,97.0,86,12.799339388934763,4.0,http://i.imgur.com/hwKNDNt.png
4313,Leuggern,2166.0,237.0,12.0,5,10.941828254847644,2.0,http://i.imgur.com/jwxM3DD.png
4138,Leutwil,744.0,84.0,7.0,4,11.29032258064516,1.0,http://i.imgur.com/L9D6Thz.png
4104,Lupfig,3152.0,359.0,21.0,17,11.389593908629442,2.0,http://i.imgur.com/GsvlHnm.png
4253,Magden,3886.0,432.0,23.0,24,11.116829644879052,2.0,http://i.imgur.com/RjlsGjO.png
4105,Mandach,331.0,,,,,,http://i.imgur.com/9A7gzrY.png
4202,Meisterschwanden,2937.0,320.0,21.0,19,10.895471569628873,2.0,http://i.imgur.com/5oMnSnx.png
4314,Mellikon,227.0,,,,,,http://i.imgur.com/nxzSlN6.png
4033,Mellingen,5803.0,760.0,40.0,36,13.096674134068584,3.0,http://i.imgur.com/ygzUtMm.png
4139,Menziken,6507.0,1060.0,49.0,20,16.290149070232058,3.0,http://i.imgur.com/uIpPosE.png
4234,Merenschwand,3680.0,485.0,44.0,34,13.179347826086957,3.0,http://i.imgur.com/VUV5NO6.png
